Customer_ID,Age,Work_Experience,Family_Size,median_annual_wage,card_monthly_avg,check_monthly_avg,Deposit_monthly_avg,Loan Payment_monthly_avg,Transfer_monthly_avg,Withdrawal_monthly_avg,card_monthly_count_avg,check_monthly_count_avg,Deposit_monthly_count_avg,Loan Payment_monthly_count_avg,Transfer_monthly_count_avg,Withdrawal_monthly_count_avg,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90,ANNUAL,HOURLY,Female,Male,O_GROUP_broad,O_GROUP_detailed,O_GROUP_major,O_GROUP_minor,OCC_CODE_MAJOR,OCC_CODE_MINOR,OCC_CODE_BROAD,OCC_CODE_DETAILED,Cluster
1000,19,1,3,37940.0,29.7036,3304.8453600000003,53392.8393,22722.1287,0.0,713.2191333333334,0.1429,0.8571,0.4286,0.2857,0.0,0.4286,13560460,0.1,21.12,43930.0,0.4,13.03,15.1,18.24,23.33,30.82,27110.0,31410.0,48520.0,64100.0,0.0,0.0,False,True,False,False,True,False,53,530,5300,530000,27
1001,31,6,2,35250.0,49.23836666666667,7165.765065000001,52811.1039,16493.415957142857,2486.1466750000004,1539.0045,1.4375,0.9375,0.0625,0.4375,0.5,0.3125,397200,1.9,20.52,42680.0,0.8,10.99,13.68,16.95,22.44,29.42,22850.0,28460.0,46680.0,61190.0,0.0,0.0,True,False,False,True,False,False,25,250,2530,253031,-1
1002,23,1,2,35290.0,0.0,4051.474,26184.2843,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.0,0.0,13183250,0.3,24.22,50370.0,0.6,11.14,13.61,16.96,27.16,45.21,23180.0,28310.0,56480.0,94040.0,0.0,0.0,False,True,False,False,True,False,41,410,4100,410000,29
1003,35,9,4,90520.0,19.4843,3339.0185,0.0,22991.512175,903.1542,1068.5366,0.1111,0.4444,0.0,0.6667,0.2222,0.3333,325930,0.7,46.71,97160.0,0.6,27.05,33.71,43.52,55.32,67.52,56260.0,70120.0,115070.0,140430.0,0.0,0.0,True,False,False,True,False,False,15,152,1512,151244,-1
1004,24,2,1,35670.0,0.0,6125.503468750001,18112.6917,0.0,1487.775775,583.8583,0.0,1.7778,0.1111,0.0,0.5556,0.2222,7896560,0.2,17.92,37270.0,0.3,12.88,14.62,17.15,20.02,23.66,26780.0,30410.0,41640.0,49210.0,0.0,0.0,True,False,False,False,False,True,53,530,5370,537000,34
1005,23,3,2,39910.0,42.9367,8929.765266666667,36940.5528,26946.37477272727,1922.55745,1009.5713049999998,0.25,0.3125,0.25,0.75,0.5,1.125,8738980,0.2,21.81,45370.0,0.2,13.93,16.24,19.19,24.67,31.94,28980.0,33780.0,51320.0,66430.0,0.0,0.0,False,True,False,False,True,False,51,510,5100,510000,32
1006,37,9,4,107360.0,33.7543,5065.899,26918.1986,0.0,1181.29095,1560.2747,0.3333,0.3333,0.2222,0.0,0.8889,0.2222,9860740,0.6,63.08,131200.0,0.6,24.18,36.23,51.62,78.71,106.03,50290.0,75350.0,163710.0,220550.0,0.0,0.0,False,True,False,False,True,False,11,110,1100,110000,19
1007,27,4,2,34220.0,0.0,6117.88905,31289.363299999997,10349.4446,1913.956,633.9098666666666,0.0,0.5,0.5,0.25,0.125,0.375,2842060,0.3,17.09,35550.0,0.4,12.35,14.29,16.45,18.66,22.77,25680.0,29730.0,38810.0,47360.0,0.0,0.0,False,True,False,True,False,False,53,530,5370,537065,21
1008,30,6,5,38510.0,33.21491666666667,0.0,23883.5773,35021.049100000004,2547.665625,625.4615625,0.6667,0.0,0.2222,0.4444,0.4444,0.5556,977300,0.9,23.41,48700.0,0.6,11.52,14.42,18.51,27.85,38.14,23960.0,29980.0,57930.0,79320.0,0.0,0.0,False,True,False,False,False,True,25,250,2530,253000,4
1009,38,8,3,50080.0,36.257979999999996,3613.315268518518,28850.827449999993,20174.14745,0.0,626.5295666666667,0.3333,1.0,1.2,0.6,0.0,0.4,5823400,0.4,26.77,55680.0,0.2,15.0,18.45,24.08,31.53,40.37,31200.0,38370.0,65570.0,83970.0,0.0,0.0,True,False,False,False,True,False,49,490,4900,490000,35
