Customer_ID,Age,Work_Experience,Family_Size,median_annual_wage,card_monthly_avg,card_monthly_min,card_monthly_max,check_monthly_avg,check_monthly_min,check_monthly_max,Deposit_monthly_avg,Deposit_monthly_min,Deposit_monthly_max,Loan Payment_monthly_avg,Loan Payment_monthly_min,Loan Payment_monthly_max,Transfer_monthly_avg,Transfer_monthly_min,Transfer_monthly_max,Withdrawal_monthly_avg,Withdrawal_monthly_min,Withdrawal_monthly_max,card_monthly_count_avg,card_monthly_count_min,card_monthly_count_max,check_monthly_count_avg,check_monthly_count_min,check_monthly_count_max,Deposit_monthly_count_avg,Deposit_monthly_count_min,Deposit_monthly_count_max,Loan Payment_monthly_count_avg,Loan Payment_monthly_count_min,Loan Payment_monthly_count_max,Transfer_monthly_count_avg,Transfer_monthly_count_min,Transfer_monthly_count_max,Withdrawal_monthly_count_avg,Withdrawal_monthly_count_min,Withdrawal_monthly_count_max,card_avg,check_avg,deposit_avg,loan payment_avg,transfer_avg,withdrawal_avg,card_count,check_count,deposit_count,loan payment_count,transfer_count,wihdrawal_count,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,Female,Male,OCC_CODE_MAJOR,Cluster
1000,19,1,3,37940.0,29.7036,29.7036,29.7036,3304.8453600000003,3295.7485399999996,3313.9421800000005,53392.8393,53392.8393,53392.8393,22722.1287,22722.1287,22722.1287,0.0,0.0,0.0,713.2191333333334,713.2191333333334,713.2191333333334,0.1429,0.0,1.0,0.8571,0.0,2.0,0.4286,0.0,1.0,0.2857,0.0,1.0,0.0,0.0,0.0,0.4286,0.0,1.0,29.7,3323.04,53392.84,22722.13,0.0,793.09,1,2,1,1,0,2,13560460,21.12,43930.0,18.24,False,True,53,5
1001,31,6,2,35250.0,49.23836666666667,41.20166666666666,57.01923333333334,7165.765065000001,4906.807800000001,9424.72233,52811.1039,52811.1039,52811.1039,16493.415957142857,16493.415957142857,16493.415957142857,2486.1466750000004,2486.1466750000004,2486.1466750000004,1539.0045,1539.0045,1539.0045,1.4375,0.0,3.0,0.9375,0.0,2.0,0.0625,0.0,1.0,0.4375,0.0,1.0,0.5,0.0,1.0,0.3125,0.0,1.0,52.77,7874.51,52811.1,16223.55,2030.74,1539.0,4,6,1,2,2,1,397200,20.52,42680.0,16.95,True,False,25,5
1002,23,1,2,35290.0,0.0,0.0,0.0,4051.474,4051.474,4051.474,26184.2843,26184.2843,26184.2843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,1.0,0.6667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4051.47,26184.28,0.0,0.0,0.0,0,1,2,0,0,0,13183250,24.22,50370.0,16.96,False,True,41,5
1003,35,9,4,90520.0,19.4843,19.4843,19.4843,3339.0185,3042.5558333333333,3635.481166666667,0.0,0.0,0.0,22991.512175,19418.014099999997,26565.01025,903.1542,903.1542,903.1542,1068.5366,807.6917,1329.3815,0.1111,0.0,1.0,0.4444,0.0,2.0,0.0,0.0,0.0,0.6667,0.0,2.0,0.2222,0.0,1.0,0.3333,0.0,2.0,19.48,3339.02,0.0,25074.55,903.15,1329.38,1,2,0,3,1,2,325930,46.71,97160.0,43.52,True,False,15,5
1004,24,2,1,35670.0,0.0,0.0,0.0,6125.503468750001,5102.4344375,7687.3451875,18112.6917,18112.6917,18112.6917,0.0,0.0,0.0,1487.775775,1483.6793499999999,1491.8721999999998,583.8583,583.8583,583.8583,0.0,0.0,0.0,1.7778,0.0,3.0,0.1111,0.0,1.0,0.0,0.0,0.0,0.5556,0.0,2.0,0.2222,0.0,1.0,0.0,5802.39,18112.69,0.0,1515.54,583.86,0,4,1,0,3,1,7896560,17.92,37270.0,17.15,True,False,53,5
1005,23,3,2,39910.0,42.9367,42.9367,42.9367,8929.765266666667,6201.928533333335,11657.602,36940.5528,36940.5528,36940.5528,26946.37477272727,25981.188790909087,27911.560754545444,1922.55745,1575.4700500000001,2269.64485,1009.5713049999998,848.4662199999999,1208.04952,0.25,0.0,1.0,0.3125,0.0,2.0,0.25,0.0,1.0,0.75,0.0,2.0,0.5,0.0,2.0,1.125,0.0,3.0,42.94,7565.85,36940.55,23745.81,1951.29,1039.93,1,2,1,4,3,5,8738980,21.81,45370.0,19.19,False,True,51,5
1006,37,9,4,107360.0,33.7543,30.8017,36.7069,5065.899,5065.899,5065.899,26918.1986,26918.1986,26918.1986,0.0,0.0,0.0,1181.29095,969.2792999999999,1377.2211,1560.2747,1560.2747,1560.2747,0.3333,0.0,2.0,0.3333,0.0,1.0,0.2222,0.0,1.0,0.0,0.0,0.0,0.8889,0.0,3.0,0.2222,0.0,1.0,36.71,5065.9,26918.2,0.0,1079.31,1560.27,2,1,1,0,3,2,9860740,63.08,131200.0,51.62,False,True,11,5
1007,27,4,2,34220.0,0.0,0.0,0.0,6117.88905,6117.88905,6117.88905,31289.363299999997,31289.363299999997,31289.363299999997,10349.4446,10349.4446,10349.4446,1913.956,1913.956,1913.956,633.9098666666666,633.9098666666666,633.9098666666666,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.25,0.0,1.0,0.125,0.0,1.0,0.375,0.0,1.0,0.0,6117.89,28057.68,10349.44,1913.96,677.78,0,2,2,1,1,2,2842060,17.09,35550.0,16.45,False,True,53,5
1008,30,6,5,38510.0,33.21491666666667,33.21491666666667,33.21491666666667,0.0,0.0,0.0,23883.5773,23883.5773,23883.5773,35021.049100000004,35021.049100000004,35021.049100000004,2547.665625,2547.665625,2547.665625,625.4615625,537.0344,713.888725,0.6667,0.0,1.0,0.0,0.0,0.0,0.2222,0.0,1.0,0.4444,0.0,1.0,0.4444,0.0,1.0,0.5556,0.0,2.0,50.39,0.0,23883.58,35021.05,3258.51,890.74,2,0,1,2,2,2,977300,23.41,48700.0,18.51,False,True,25,5
1009,38,8,3,50080.0,36.257979999999996,36.257979999999996,36.257979999999996,3613.315268518518,2105.342166666667,5031.552477777778,28850.827449999993,26021.709410000003,31803.97848,20174.14745,17319.384933333335,23028.90996666667,0.0,0.0,0.0,626.5295666666667,626.5295666666667,626.5295666666667,0.3333,0.0,1.0,1.0,0.0,3.0,1.2,0.0,3.0,0.6,0.0,2.0,0.0,0.0,0.0,0.4,0.0,1.0,33.89,4000.38,29974.36,20486.23,0.0,664.77,2,4,4,3,0,2,5823400,26.77,55680.0,24.08,True,False,49,5
